Company Name,Founded Year,HQ,Industry,Total Funding,ARR,Valuation,Valuation (Cleaned),Employees,Top Investors,Product,G2 Rating,ARR_Numeric,Valuation_Numeric,Funding_Numeric,Employees_Numeric,Revenue_per_Employee
Microsoft,1975,"Redmond, WA, USA",Enterprise Software,$1B,$270B,$3T,"$3,000,000,000,000",221000,"Bill Gates, Paul Allen","Azure, Office 365, Teams",4.4,270000000000.0,3000000000000.0,1000000000.0,221000.0,"$1,221,719"
Salesforce,1999,"San Francisco, CA, USA",CRM,$65.4M,$37.9B,$227.8B,"$227,800,000,000",75000,"Halsey Minor, Larry Ellison","Sales Cloud, Service Cloud",4.3,37900000000.0,227800000000.0,65400000.00000001,75000.0,"$505,333"
Adobe,1982,"San Jose, CA, USA",Creative Software,$2.5M,$19.4B,$240B,"$240,000,000,000",29945,Hambrecht & Quist,"Creative Cloud, Document Cloud",4.5,19400000000.0,240000000000.0,2500000.0,29945.0,"$647,854"
Oracle,1977,"Austin, TX, USA",Database & Enterprise,$2K,$52.9B,$350B,"$350,000,000,000",143000,"Larry Ellison, Bob Miner","Oracle Cloud, NetSuite",4.0,52900000000.0,350000000000.0,2000.0,143000.0,"$369,930"
SAP,1972,"Walldorf, Germany",Enterprise Software,,$32.5B,$215B,"$215,000,000,000",107415,"Dietmar Hopp, Klaus Tschira","S/4HANA, SuccessFactors",4.1,32500000000.0,215000000000.0,0.0,107415.0,"$302,565"
Intuit,1983,"Mountain View, CA, USA",Financial Software,$273M,$14.4B,$180B,"$180,000,000,000",18200,"Sierra Ventures, Kleiner Perkins","QuickBooks, TurboTax",4.4,14400000000.0,180000000000.0,273000000.0,18200.0,"$791,209"
ServiceNow,2004,"Santa Clara, CA, USA",IT Service Management,$82.5M,$8.9B,$147B,"$147,000,000,000",20000,"JMI Equity, Sequoia Capital",IT Service Management Platform,4.4,8900000000.0,147000000000.0,82500000.0,20000.0,"$445,000"
Workday,2005,"Pleasanton, CA, USA",HR & Finance,$249.9M,$7.3B,$65B,"$65,000,000,000",18800,"Greylock Partners, NEA","HCM, Financial Management",4.2,7300000000.0,65000000000.0,249900000.0,18800.0,"$388,298"
Zoom,2011,"San Jose, CA, USA",Video Communications,$145.5M,$4.5B,$85B,"$85,000,000,000",7388,"Sequoia Capital, Emergence",Video Conferencing Platform,4.5,4500000000.0,85000000000.0,145500000.0,7388.0,"$609,096"
Shopify,2006,"Ottawa, Canada",E-commerce,$122.3M,$7.1B,$95B,"$95,000,000,000",11600,"Bessemer, FirstMark, Felicis",E-commerce Platform,4.4,7100000000.0,95000000000.0,122300000.0,11600.0,"$612,069"
Atlassian,2002,"Sydney, Australia",Collaboration Software,$60M,$3.5B,$55B,"$55,000,000,000",11800,Accel Partners,"Jira, Confluence, Trello",4.3,3500000000.0,55000000000.0,60000000.0,11800.0,"$296,610"
Snowflake,2012,"Bozeman, MT, USA",Data Warehousing,$1.4B,$2.8B,$75B,"$75,000,000,000",6500,"Sequoia, ICONIQ, Altimeter",Cloud Data Platform,4.4,2800000000.0,75000000000.0,1400000000.0,6500.0,"$430,769"
HubSpot,2006,"Cambridge, MA, USA",Marketing & Sales,$100.5M,$2.2B,$32B,"$32,000,000,000",7600,"General Catalyst, Google Ventures","Marketing Hub, Sales Hub",4.4,2200000000.0,32000000000.0,100500000.0,7600.0,"$289,474"
DocuSign,2003,"San Francisco, CA, USA",Digital Agreements,$514.3M,$2.5B,$10B,"$10,000,000,000",7336,"Kleiner Perkins, Accel","eSignature, Contract Lifecycle",4.5,2500000000.0,10000000000.0,514299999.99999994,7336.0,"$340,785"
Slack,2009,"San Francisco, CA, USA",Team Communication,$1.4B,$1.7B,$27.7B (Salesforce),"$27,700,000,000",2545,"Accel, Andreessen Horowitz",Team Messaging Platform,4.5,1700000000.0,27700000000.0,1400000000.0,2545.0,"$667,976"
Notion,2013,"San Francisco, CA, USA",Productivity,$353M,$400M,$10B,"$10,000,000,000",800,"Index Ventures, Sequoia",All-in-one workspace,4.7,400000000.0,10000000000.0,353000000.0,800.0,"$500,000"
Datadog,2010,"New York, NY, USA",Monitoring & Analytics,$147.9M,$2.1B,$44B,"$44,000,000,000",5200,"ICONIQ, Index Ventures",Infrastructure Monitoring,4.4,2100000000.0,44000000000.0,147900000.0,5200.0,"$403,846"
MongoDB,2007,"New York, NY, USA",Database,$311.2M,$1.7B,$26B,"$26,000,000,000",4500,"Sequoia, NEA, USV",Document Database Platform,4.5,1700000000.0,26000000000.0,311200000.0,4500.0,"$377,778"
Okta,2009,"San Francisco, CA, USA",Identity Management,$230.5M,$2.2B,$25B,"$25,000,000,000",5900,"Andreessen Horowitz, Greylock",Identity & Access Management,4.4,2200000000.0,25000000000.0,230500000.0,5900.0,"$372,881"
Twilio,2008,"San Francisco, CA, USA",Communications,$261.3M,$4.1B,$12B,"$12,000,000,000",7867,"Bessemer, Union Square",Communications APIs,4.3,4099999999.9999995,12000000000.0,261300000.0,7867.0,"$521,164"
Stripe,2010,"San Francisco, CA, USA",Payments,$8.7B,$14B,$65B,"$65,000,000,000",8000,"Sequoia, Andreessen Horowitz",Payment Processing Platform,4.4,14000000000.0,65000000000.0,8700000000.0,8000.0,"$1,750,000"
Square,2009,"San Francisco, CA, USA",Payments,$590.5M,$19.7B,$85B,"$85,000,000,000",8500,"Khosla Ventures, Sequoia",Payment & POS Solutions,4.2,19700000000.0,85000000000.0,590500000.0,8500.0,"$2,317,647"
Palantir,2003,"Denver, CO, USA",Data Analytics,$2.6B,$2.2B,$52B,"$52,000,000,000",3500,"Founders Fund, In-Q-Tel",Data Integration Platform,4.0,2200000000.0,52000000000.0,2600000000.0,3500.0,"$628,571"
Canva,2013,"Sydney, Australia",Design,$572.6M,$2B,$40B,"$40,000,000,000",3500,"Sequoia, Bessemer, Bond",Design Platform,4.7,2000000000.0,40000000000.0,572600000.0,3500.0,"$571,429"
Monday.com,2012,"Tel Aviv, Israel",Work Management,$234.1M,$736M,$14B,"$14,000,000,000",1900,"Sapphire Ventures, Insight",Work OS Platform,4.6,736000000.0,14000000000.0,234100000.0,1900.0,"$387,368"
Asana,2008,"San Francisco, CA, USA",Work Management,$453.2M,$652M,$5.5B,"$5,500,000,000",1600,"Benchmark, Founders Fund",Work Management Platform,4.3,652000000.0,5500000000.0,453200000.0,1600.0,"$407,500"
Airtable,2012,"San Francisco, CA, USA",Database/Spreadsheet,$735.1M,$500M,$11B,"$11,000,000,000",900,"Benchmark, Thrive Capital",Low-code Database Platform,4.6,500000000.0,11000000000.0,735100000.0,900.0,"$555,556"
Figma,2012,"San Francisco, CA, USA",Design,$332.9M,$600M,$20B (Adobe),"$20,000,000,000",1300,"Index Ventures, Greylock",Collaborative Design Tool,4.7,600000000.0,20000000000.0,332900000.0,1300.0,"$461,538"
GitLab,2011,"San Francisco, CA, USA",DevOps,$435.6M,$580M,$8B,"$8,000,000,000",2300,"ICONIQ, Goldman Sachs",DevOps Platform,4.5,580000000.0,8000000000.0,435600000.0,2300.0,"$252,174"
Zendesk,2007,"San Francisco, CA, USA",Customer Service,$85.5M,$1.9B,$13.2B,"$13,200,000,000",6000,"Benchmark, Matrix Partners",Customer Service Platform,4.3,1900000000.0,13200000000.0,85500000.0,6000.0,"$316,667"
Box,2005,"Redwood City, CA, USA",Cloud Storage,$562.4M,$1B,$3.5B,"$3,500,000,000",2800,"DFJ, NEA, Bessemer",Cloud Content Management,4.2,1000000000.0,3500000000.0,562400000.0,2800.0,"$357,143"
Dropbox,2008,"San Francisco, CA, USA",Cloud Storage,$1.7B,$2.5B,$8.5B,"$8,500,000,000",2700,"Sequoia, Accel, Index",Cloud Storage & Collaboration,4.4,2500000000.0,8500000000.0,1700000000.0,2700.0,"$925,926"
Freshworks,2010,"San Mateo, CA, USA",Customer Engagement,$484.7M,$596M,$5.2B,"$5,200,000,000",5000,"Accel, Sequoia Capital India",Customer Engagement Suite,4.4,596000000.0,5200000000.0,484700000.0,5000.0,"$119,200"
Klaviyo,2012,"Boston, MA, USA",Marketing Automation,$778.2M,$698M,$9.5B,"$9,500,000,000",1500,"Summit Partners, Accel",Email & SMS Marketing,4.6,698000000.0,9500000000.0,778200000.0,1500.0,"$465,333"
UiPath,2005,"New York, NY, USA",RPA,$2B,$1.3B,$7B,"$7,000,000,000",4013,"Sequoia, Accel, IVP",Robotic Process Automation,4.5,1300000000.0,7000000000.0,2000000000.0,4013.0,"$323,947"
Databricks,2013,"San Francisco, CA, USA",Data & AI,$3.5B,$1.6B,$43B,"$43,000,000,000",5000,"Andreessen Horowitz, NEA",Unified Analytics Platform,4.5,1600000000.0,43000000000.0,3500000000.0,5000.0,"$320,000"
Confluent,2014,"Mountain View, CA, USA",Data Streaming,$455.9M,$773M,$9.1B,"$9,100,000,000",2500,"Sequoia, Benchmark, Index",Data Streaming Platform,4.4,773000000.0,9100000000.0,455900000.0,2500.0,"$309,200"
HashiCorp,2012,"San Francisco, CA, USA",Infrastructure,$349.5M,$541M,$13B,"$13,000,000,000",2200,"GV, Mayfield, IVP",Infrastructure Automation,4.6,541000000.0,13000000000.0,349500000.0,2200.0,"$245,909"
Elastic,2012,"Mountain View, CA, USA",Search & Analytics,$162M,$1.1B,$8B,"$8,000,000,000",3000,"NEA, Benchmark, Index",Search & Analytics Platform,4.4,1100000000.0,8000000000.0,162000000.0,3000.0,"$366,667"
PagerDuty,2009,"San Francisco, CA, USA",Incident Response,$173.7M,$430M,$2.8B,"$2,800,000,000",1000,"Andreessen Horowitz, Bessemer",Digital Operations Platform,4.3,430000000.0,2800000000.0,173700000.0,1000.0,"$430,000"
New Relic,2008,"San Francisco, CA, USA",Observability,$215M,$785M,$6.5B,"$6,500,000,000",2300,"Benchmark, Trinity, Tenaya",Observability Platform,4.3,785000000.0,6500000000.0,215000000.0,2300.0,"$341,304"
Splunk,2003,"San Francisco, CA, USA",Data Analytics,$40M,$3.7B,$28B (Cisco),"$28,000,000,000",8000,"August Capital, JK&B Capital",Data Platform,4.4,3700000000.0,28000000000.0,40000000.0,8000.0,"$462,500"
Cloudflare,2009,"San Francisco, CA, USA",Web Infrastructure,$332.1M,$1.6B,$28B,"$28,000,000,000",3266,"NEA, Venrock, Union Square",Web Performance & Security,4.7,1600000000.0,28000000000.0,332100000.0,3266.0,"$489,896"
SendGrid,2009,"Denver, CO, USA",Email Delivery,$81M,$200M,$3B (Twilio),"$3,000,000,000",600,"Bessemer, Foundry Group",Email Delivery Platform,4.0,200000000.0,3000000000.0,81000000.0,600.0,"$333,333"
Mailchimp,2001,"Atlanta, GA, USA",Email Marketing,0,$1B,$12B (Intuit),"$12,000,000,000",1200,Bootstrapped,Marketing Platform,4.3,1000000000.0,12000000000.0,0.0,1200.0,"$833,333"
Miro,2011,"San Francisco, CA, USA",Collaboration,$476.3M,$400M,$17.5B,"$17,500,000,000",1800,"ICONIQ, Accel, GV",Visual Collaboration Platform,4.7,400000000.0,17500000000.0,476300000.0,1800.0,"$222,222"
Grammarly,2009,"San Francisco, CA, USA",Writing Assistant,$400M,$300M,$13B,"$13,000,000,000",600,"General Catalyst, IVP",AI Writing Assistant,4.6,300000000.0,13000000000.0,400000000.0,600.0,"$500,000"
